date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-05-11|09:45:00|Invoice 1023 paid|Mary|750.00
2023-06-07|12:00:00|Invoice 1034 paid|Tech Co.|1200.00
2023-09-12|08:35:20|coffee maker|Target|-75.99
2023-09-14|09:10:15|groceries|Whole Foods|-145.75
2023-10-05|18:50:40|dinner|Olive Garden|-68.30
2023-10-06|11:22:18|taxi fare|Lyft|-22.50
2023-10-07|16:35:45|new smartphone|Apple|-999.99
2023-10-08|07:10:00|breakfast|Starbucks|-12.80
